ID,SONG,ALBUM,CHUNK_ID,CHUNK
0,Tim McGraw,Taylor Swift,0,"He said the way my blue eyes shined
Put those Georgia stars to shame that night
I said, ""That's a lie""
Just a boy in a Chevy truck"
1,Tim McGraw,Taylor Swift,1,"That had a tendency of gettin' stuck
On backroads at night
And I was right there beside him all summer long
And then the time we woke up to find that summer gone"
2,Tim McGraw,Taylor Swift,2,"But when you think Tim McGraw
I hope you think my favorite song
The one we danced to all night long
The moon like a spotlight on the lake"
3,Tim McGraw,Taylor Swift,3,"When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans"
4,Tim McGraw,Taylor Swift,4,"When you think Tim McGraw
I hope you think of me
September saw a month of tears
And thankin' God that you weren't here"
5,Tim McGraw,Taylor Swift,5,"To see me like that
But in a box beneath my bed
Is a letter that you never read
From three summers back"
6,Tim McGraw,Taylor Swift,6,"It's hard not to find it all a little bittersweet
And lookin' back on all of that, it's nice to believe
When you think Tim McGraw
I hope you think my favorite song"
7,Tim McGraw,Taylor Swift,7,"The one we danced to all night long
The moon like a spotlight on the lake
When you think happiness
I hope you think that little black dress"
8,Tim McGraw,Taylor Swift,8,"Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me"
9,Tim McGraw,Taylor Swift,9,"And I'm back for the first time since then
I'm standin' on your street
And there's a letter left on your doorstep
And the first thing that you'll read"
10,Tim McGraw,Taylor Swift,10,"Is, ""When you think Tim McGraw
I hope you think my favorite song
Someday you'll turn your radio on
I hope it takes you back to that place"""
11,Tim McGraw,Taylor Swift,11,"When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans"
12,Tim McGraw,Taylor Swift,12,"When you think Tim McGraw
I hope you think of me
Oh, think of me, mmm
He said the way my blue eyes shined"
13,Tim McGraw,Taylor Swift,13,"Put those Georgia stars to shame that night
I said, ""That's a lie"""
14,Picture to Burn,Taylor Swift,0,"State the obvious, I didn't get my perfect fantasy
I realize you love yourself more than you could ever love me
So go and tell your friends that I'm obsessive and crazy
That's fine, you won't mind if I say"
15,Picture to Burn,Taylor Swift,1,"By the way
I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lyin'
So watch me strike a match on all my wasted time"
16,Picture to Burn,Taylor Swift,2,"As far as I'm concerned, you're just another picture to burn
There's no time for tears, I'm just sittin' here planning my revenge
There's nothing stoppin' me from goin' out with all of your best friends
And if you come around sayin' sorry to me"
17,Picture to Burn,Taylor Swift,3,"My daddy's gonna show ya how sorry you'll be
'Cause I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lyin'
So watch me strike a match on all my wasted time"
18,Picture to Burn,Taylor Swift,4,"As far as I'm concerned, you're just another picture to burn
And if you're missing me, you'd better keep it to yourself
'Cause coming back around here would be bad for your health
'Cause I hate that stupid old pickup truck you never let me drive"
